titel;beschreibung;postleitzahl;stadt;zeit
['Beton Stapel zum bepflanzen'];['35 Stück an Selbstabholer zu verschenken', '', 'Ebenerdig am besten mit zwei kräftigen Leuten.', '', 'Sackkare...'];48157;['Handorf'];23.07.2020 20:27
['Schreibtischstuhl zu Verschenken'];['Dieser Stuhl wurde mehrere Jahre genutzt und hat Gebrauchsspuren. Weitere Informationen gerne auf...'];48155;['Centrum'];23.07.2020 20:11
['KG Rohr als Erdbeer Säule ?!?'];['KG Rohr ca. 1,25 m hoch. Wir hatten Erdbeeren eingesetzt'];48143;['Centrum'];23.07.2020 20:07
['Handtuch Halterung Garderobe zu verschenken'];['Zu verschenken:)'];48155;['Centrum'];23.07.2020 20:05
['Bilderrahmen zu verschenken.'];['Bilderrahmen zu verschenken. Abzuholen in Gremmendorf.'];48167;['Gremmendorf'];23.07.2020 20:04
['Ledercouch/Sofa'];['Gebrauchte Couch zu verschenken. Schwarzes Leder. Gebrauchsspuren sichtbar. Maße: 2 x 1,10 x 0,85...'];48149;['Centrum'];23.07.2020 20:01
['Schabracke; Fellpad;48155;['Gremmendorf'];23.07.2020 20:01
['Bravo hits zu verschenken.'];['CDs zu verschenken. Nur zusammen abzugeben. Selbstabholen in Gremmendorf.'];48167;['Gremmendorf'];23.07.2020 19:59
['Couchtisch Glas'];['Gebrauchter Couchtisch zu verschenken nur an Abholer. Maße: 1,14 x 0,74 x 0,46 m'];48149;['Centrum'];23.07.2020 19:55
['Aquariumkies'];['Ich verschenke meinen Aquariumkies. Bin auf Sand umgestiegen, und der Kies steht nur im Weg'];48163;['Mecklenbeck'];23.07.2020 19:13
['Elektroorgel Farfisa ABHOLUNG BIS 26.07.!'];['Orgel zu verschenken!', 'Abholung nur bis zum 26.07. möglich'];48159;['Wienburg'];23.07.2020 19:00
['Reitbeteiligung (40 bis 70 Jahre) für ausgebildetes Pferd'];['Suche Reitbeteiligung für ausgebildete Oldenburgerstute.', 'Für Menschen im Alter von 40 bis 70...'];48159;['Kinderhaus'];23.07.2020 18:59
['Matratze zu verschenken'];['90* 200 cm', '', 'Gebraucht aber noch OK'];48165;['Hiltrup'];23.07.2020 18:51
['Kleiderschrank'];['Kleiderschrank zu verschenken, selber abholen und abbauen im Zentrum/ Bahnhofsnähe', 'ab sofort :)'];48145;['Centrum'];23.07.2020 18:22
['Fotoalben NEU'];['Beide neu.'];48157;['Coerde'];23.07.2020 18:04
['Matratze für Kinderreisebett von Alvi'];['Naht an der Seite aufgegangen.', 'Kann genäht werden.'];48157;['Coerde'];23.07.2020 18:02
['Speiskübel zu verschenken'];['Hallöchen,', '', 'Wir haben einen Kübel zu verschenken. Es würde Steinteppich drin abgemischt.', '', 'Vllt kann...'];48167;['Angelmodde'];23.07.2020 18:00
['Altmetall massiv; Gartentor;48167;['Gremmendorf'];23.07.2020 17:51
['Ikea malm Bett zu verschenken (140cm)'];['Ohne Matratze, ohne Lattenrost! Für 140cm Matratzen.', '', 'Das Bett hat keine Macken, alles super....'];48155;['Centrum'];23.07.2020 17:42
['Tontauben Hochzeit Deko'];['Hübsche Deko zum Thema Hochzeit'];48155;['Centrum'];23.07.2020 17:41
['Ikea Tischplatte mit roten Beinen.'];['Länge:', '100 cm', 'Breite:', '60 cm', 'Höhe:', '74 cm', 'Max Belastung:', '50 kg'];48167;['Wolbeck'];23.07.2020 17:08
['Bild Acryl auf Leinwand 70 x 50 cm'];['Bild sucht neue Heimat. Acryl auf Leinwand.', 'Wenn es euch gefällt, komm vorbei und nimmt es mit.'];48147;['Centrum'];23.07.2020 16:56
['EXPEDIT / KALLAX'];['Das Regal hat ein paar Löcher und Macken, ist aber an sich noch stabil.', '', 'Kostenlos an...'];48165;['Berg Fidel'];23.07.2020 16:44
['Valentin Yudashkin Löffel'];['Russen stehen dadrauf. Keine Ahnung warum, war ein Geschenk.'];48159;['Sprakel'];23.07.2020 16:42
['Der Pate von Mario Puzo'];['An Selbstabholer'];48151;['Centrum'];23.07.2020 16:30
['Verschenke 6 Apollinaris Wassergläser'];['Verschenke hier 6 sehr gut erhaltene Wassergläser mit dem typischen Apollinaris Dreckeck auf dem...'];48159;['Kinderhaus'];18.07.2020   2020-07-23
